beta,seed,mean_relevant_information,mean_roi_event_fraction,mean_roi_event_density,roi_empty_fraction,mean_total_event_mass,mean_roi_event_mass,n_fixations,unique_cells,revisit_fraction,consecutive_same_cell_fraction,mean_saccade_length_px,median_saccade_length_px,std_saccade_length_px
9,1,0.15064196977418642,0.16429627461458604,0.2343769525344812,0.0196078431372549,4287.431372549019,658.0196078431372,50,24,0.52,0.061224489795918366,70.3783807114548,72.97414102338584,37.30741921432689
9,2,0.16304300208625316,0.17752079490948536,0.248928741710438,0.0,4287.431372549019,697.5490196078431,50,22,0.56,0.061224489795918366,60.866759665614154,57.607868669564944,33.2676654998268
9,3,0.14193864733668443,0.15542358645221355,0.2178544179465587,0.0392156862745098,4287.431372549019,611.9411764705883,50,24,0.52,0.04081632653061224,74.68353496673433,72.6838723216282,38.90770624018551
9,4,0.15548857563828,0.16939641608828854,0.2398313544000725,0.0,4287.431372549019,673.6862745098039,50,24,0.52,0.02040816326530612,63.95633434733164,60.745836516175856,35.0854285544915
10,0,0.14858889041725712,0.1620051834890836,0.23268475970332164,0.0196078431372549,4287.431372549019,651.5490196078431,50,21,0.5800000000000001,0.02040816326530612,71.34755230123918,68.29863656310553,37.11046726493673
10,1,0.15516962243315965,0.16890746025252157,0.2417509545648091,0.0,4287.431372549019,679.0784313725491,50,21,0.5800000000000001,0.04081632653061224,64.13023644545785,65.47511120413017,36.267792508638685
10,2,0.15415291355299937,0.16807929275343567,0.2387909566487032,0.0,4287.431372549019,665.0588235294117,50,22,0.56,0.04081632653061224,67.83466269397726,65.98825680940845,35.55078813745663
10,3,0.1395033071489642,0.15289975040251808,0.21406850529460622,0.0392156862745098,4287.431372549019,600.7254901960785,50,24,0.52,0.04081632653061224,76.43851348325296,75.69769305204849,42.820948803950564
10,4,0.15877277398764833,0.17272865450966587,0.2457088210862842,0.0,4287.431372549019,690.1960784313726,50,22,0.56,0.061224489795918366,64.81414462407318,66.42680524818925,34.14010334855073
11,0,0.13780464963580316,0.15114827124570884,0.211595917937743,0.0392156862745098,4287.431372549019,593.8823529411765,50,27,0.45999999999999996,0.061224489795918366,71.94195036872289,65.44182389922887,42.34425317731099
11,1,0.15448735553816687,0.1682888293204429,0.23977802441731402,0.0,4287.431372549019,673.0,50,20,0.6,0.061224489795918366,60.04793966708875,53.92722304258356,35.335321446644144
11,2,0.1460407186931016,0.15978634781774279,0.22361645528338076,0.0,4287.431372549019,626.0,50,22,0.56,0.0,67.99747450782716,67.81238550600757,35.40513325151306
11,3,0.1538535213756072,0.16783015158967798,0.235831605693185,0.0196078431372549,4287.431372549019,662.4509803921569,50,19,0.62,0.08163265306122448,69.11756975039054,68.79633197965173,40.65515406193781
11,4,0.15801865768371942,0.1719433680690189,0.24474553082179817,0.0,4287.431372549019,687.4901960784314,50,19,0.62,0.04081632653061224,70.75902376486944,69.83808933670844,33.42245586192971
12,0,0.15595591336746384,0.16985794092142625,0.24074578211491066,0.0,4287.431372549019,676.2549019607843,50,23,0.54,0.061224489795918366,65.15149823825693,69.52933680511467,33.05725755882363
12,1,0.15737032251162109,0.17124842071207097,0.24435736782235484,0.0,4287.431372549019,686.0392156862745,50,18,0.64,0.14285714285714285,60.07232304752308,55.6513765205185,37.302493263507564
12,2,0.15067181846853342,0.16455697116624068,0.23218342158756614,0.0,4287.431372549019,647.6470588235294,50,21,0.5800000000000001,0.08163265306122448,65.67557226804283,66.43005612039696,36.61747133903547
12,3,0.15985733584414458,0.1741200269112333,0.24608596420665593,0.0,4287.431372549019,686.3725490196078,50,21,0.5800000000000001,0.02040816326530612,62.899434887763235,57.88069908776903,34.23654612837037
12,4,0.15641800288107516,0.17025971722631145,0.24239314807446646,0.0,4287.431372549019,680.8823529411765,50,22,0.56,0.061224489795918366,62.65054942263049,66.7564623269271,28.535042615046756
13,0,0.16194324808566038,0.17596868957359993,0.2516700521433208,0.0,4287.431372549019,706.9411764705883,50,23,0.54,0.061224489795918366,60.06950011573323,60.95010607323667,34.992215646425215
