frame,time_s,frame_path,camera_x,camera_y,camera_z,pan_rad,tilt_rad,pan_deg,tilt_deg,drift_pan_deg,drift_tilt_deg,delta_drift_pan_deg,delta_drift_tilt_deg
31,0.031,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00031.png,0.0,-0.25,1.5,-0.003817826608967398,0.01015115519798435,-0.2187453516065748,0.5816183500267909,-0.2187453516065748,0.5816183500267909,0.1739367877130134,-0.044631965559793665
32,0.032,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00032.png,0.0,-0.25,1.5,-0.003243666291652772,0.009744990393343903,-0.1858483886605546,0.5583468209341377,-0.1858483886605546,0.5583468209341377,0.03289696294602021,-0.02327152909265316
33,0.033,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00033.png,0.0,-0.25,1.5,-0.00047998475653975633,0.01181900858189534,-0.027501100780342378,0.6771793097715032,-0.027501100780342378,0.6771793097715032,0.1583472878802122,0.11883248883736551
34,0.034,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00034.png,0.0,-0.25,1.5,0.0006254241029038997,0.00835774335531932,0.035834161502149145,0.4788634205133046,0.035834161502149145,0.4788634205133046,0.06333526228249152,-0.19831588925819854
35,0.035,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00035.png,0.0,-0.25,1.5,0.0007162317936309396,0.009431675112471494,0.0410370589281378,0.5403951776831927,0.0410370589281378,0.5403951776831927,0.005202897425988651,0.061531757169888096
36,0.036000000000000004,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00036.png,0.0,-0.25,1.5,0.002468475299826602,0.008461068996344105,0.14143321651235477,0.4847835436595086,0.14143321651235477,0.4847835436595086,0.10039615758421697,-0.05561163402368407
37,0.037,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00037.png,0.0,-0.25,1.5,0.005648485029709592,0.006386940878861002,0.32363435284518705,0.3659447563583122,0.32363435284518705,0.3659447563583122,0.18220113633283233,-0.11883878730119639
38,0.038,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00038.png,0.0,-0.25,1.5,0.004493900822221547,0.00785571396556012,0.2574815506636651,0.4500992552885742,0.2574815506636651,0.4500992552885742,-0.06615280218152192,0.08415449893026199
39,0.039,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00039.png,0.0,-0.25,1.5,0.004579517274676149,0.01100106488075143,0.2623870120461963,0.6303145878166472,0.2623870120461963,0.6303145878166472,0.0049054613825311654,0.18021533252807295
40,0.04,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00040.png,0.0,-0.25,1.5,0.004908545335930506,0.010006445929729244,0.2812389312974429,0.5733271196993468,0.2812389312974429,0.5733271196993468,0.018851919251246557,-0.056987468117300405
